"","motorists","cyclists","windowsize","showgame","count","pred"
"380",217,217,280,"F",190,178.753854767222
"381",33,32,100,"F",36,24.9556911552539
"382",29,37,120,"F",20,24.6232738576045
"383",38,55,140,"F",38,34.4603790074342
"384",58,66,160,"F",51,48.0857554525115
"385",86,88,180,"F",76,69.07575296742
"386",93,94,200,"F",81,74.5177072894513
"387",143,122,220,"F",116,108.108155087316
"388",142,144,240,"F",97,115.802596798705
"389",177,178,260,"F",141,145.032012463039
"390",196,196,280,"F",153,160.828279524728
"391",26,20,100,"F",17,17.5960249646384
"392",45,30,120,"F",25,29.2019558708997
"393",62,49,140,"F",50,43.8961121232126
"394",57,73,160,"F",47,49.7464416761867
"395",97,83,180,"F",64,72.3463238182429
"396",102,83,200,"F",70,74.5545364388715
"397",115,129,220,"F",85,97.254195872488
"398",138,155,240,"F",114,117.58784037518
"399",168,149,260,"F",119,129.993518446979
"400",173,211,280,"F",149,154.179567387559
"401",15,26,100,"F",12,14.2119934526704
"402",43,33,120,"F",25,29.6356868918029
"403",47,58,140,"F",43,40.0581645644512
"404",74,74,160,"F",84,58.5020769526739
"405",77,83,180,"F",63,63.0128505292844
"406",96,112,200,"F",92,82.0330927797663
"407",127,105,220,"F",97,94.2661066619547
"408",143,147,240,"F",113,117.349638792752
"409",166,163,260,"F",118,134.267819160501
"410",216,198,280,"F",178,171.216206431558
"411",20,25,100,"F",9,16.5919456543629
"412",38,44,120,"F",37,31.237570592869
"413",61,40,140,"F",49,39.7575535737893
"414",62,50,160,"F",40,44.2880745903396
"415",92,84,180,"F",83,70.4622200281269
"416",113,95,200,"F",98,84.1174529979441
"417",109,122,220,"F",94,91.9021900361788
"418",137,151,240,"F",116,115.738177943048
"419",164,175,260,"F",142,137.530133254283
"420",216,198,280,"F",208,171.216206431558
"421",18,20,100,"F",8,14.1215618505886
"422",40,36,120,"F",33,29.4886296981319
"423",51,48,140,"F",36,38.7031324742081
"424",65,58,160,"F",56,48.6324124010675
"425",82,64,180,"F",48,58.3573623346622
"426",85,98,200,"F",61,71.920938497555
"427",134,115,220,"F",103,101.316186011375
"428",147,150,240,"F",123,120.367605751936
"429",182,181,260,"F",152,148.557584524776
"430",186,208,280,"F",175,159.997605337231
"431",22,19,100,"F",18,15.5672946284186
"432",40,40,120,"F",31,30.8879451758925
"433",56,63,140,"F",40,46.1328220077433
"434",55,58,160,"F",40,44.0074852973858
"435",66,88,180,"F",45,58.9604385811944
"436",90,91,200,"F",56,72.034835785969
"437",117,126,220,"F",99,97.250297835598
"438",159,132,240,"F",105,119.252337122213
"439",172,166,260,"F",139,138.255203400342
"440",181,197,280,"F",153,153.691886624065
"441",20,22,100,"F",12,15.6844148648128
"442",44,40,120,"F",33,32.7001548409825
"443",50,51,140,"F",41,39.2813985749309
"444",63,57,160,"F",40,47.3677870166205
"445",96,74,180,"F",73,68.3582076651277
"446",89,101,200,"F",62,74.9142006883389
"447",135,118,220,"F",101,102.927562450915
"448",167,147,240,"F",134,128.762151049672
"449",177,168,260,"F",149,141.388646185218
"450",189,188,280,"F",128,154.507917898437
"451",22,18,100,"F",10,15.2013053538788
"452",39,48,120,"F",42,32.9650216857055
"453",64,51,140,"F",51,45.5322524819551
"454",56,81,160,"F",56,51.5271692018898
"455",75,65,180,"F",46,55.7027970214883
"456",103,100,200,"F",96,81.3984781217415
"457",125,132,220,"F",104,103.267460934892
"458",160,133,240,"F",127,120.098605764741
"459",165,138,260,"F",126,124.332497711343
"460",221,191,280,"F",178,170.848681366388
"461",37,31,100,"F",32,26.352709432019
"462",23,37,120,"F",21,21.4351074790502
"463",53,50,140,"F",46,40.3218482968283
"464",60,46,160,"F",29,41.8633546218454
"465",82,88,180,"F",88,67.1355045272418
"466",109,94,200,"F",76,81.9409499400341
"467",126,114,220,"F",122,97.2786635846855
"468",179,142,240,"F",156,132.191204124555
"469",156,179,260,"F",131,134.810713549012
"470",212,196,280,"F",172,168.5577356861
"471",31,32,100,"F",34,24.039605362844
"472",26,27,120,"F",17,20.080043366627
"473",50,51,140,"F",31,39.2813985749309
"474",70,69,160,"F",65,54.8738703584517
"475",61,87,180,"F",58,55.9641693251541
"476",90,100,200,"F",71,75.0871065664699
"477",127,126,220,"F",98,102.14033412058
"478",128,166,240,"F",121,115.857016996575
"479",172,179,260,"F",130,142.919032996122
"480",206,183,280,"F",175,160.758932642672
"481",22,25,100,"F",15,17.5654025841218
"482",31,30,120,"F",23,23.36651817473
"483",66,44,140,"F",42,43.461035828348
"484",69,75,160,"F",68,56.4367204619514
"485",93,80,180,"F",60,69.4130445144599
"486",94,117,200,"F",79,82.5782932722941
"487",129,134,220,"F",115,105.93033199068
"488",134,141,240,"F",120,110.823121526356
"489",154,183,260,"F",120,135.081412461241
"490",227,173,280,"F",158,166.209290284626
"491",23,15,100,"F",13,14.4074584919694
"492",41,32,120,"F",30,28.4158828674041
"493",40,58,140,"F",39,36.3743234220941
"494",60,72,160,"F",53,50.9860872003166
"495",89,104,180,"F",97,75.8853128394427
"496",107,106,200,"F",96,85.437693146998
"497",127,111,220,"F",96,96.5995237991298
"498",158,132,240,"F",126,118.803115433005
"499",159,174,260,"F",130,134.666322869267
"500",191,170,280,"F",142,148.748435590271
